Supply Air Temperature,Outdoor Air Temperature,Mixed Air Temperature,Return Air Temperature,Supply Air Fan Speed Control Signal,Return Air Fan Speed Control Signal,Exhaust Air Damper Control Signal,Outdoor Air Damper Control Signal,Return Air Damper Control Signal,Cooling Coil Valve Control Signal,Supply Air Duct Static Pressure,Y
54.93,78.35,73.97,72.5,0.7,0.56,0.4,0.4,0.4,0.42,1.39,4
55.04,78.39,74.5,73.13,0.75,0.6,0.4,0.4,0.4,0.35,1.39,4
55.04,78.23,74.39,73.23,0.68,0.54,0.4,0.4,0.4,0.4,1.41,4
54.83,83.93,75.24,72.39,0.76,0.61,0.4,0.4,0.4,0.48,1.42,4
54.5,84.52,75.14,72.29,0.78,0.62,0.4,0.4,0.4,0.59,1.42,4
55.04,81.5,74.5,72.39,0.74,0.59,0.4,0.4,0.4,0.5,1.38,4
55.15,78.1,74.18,72.71,0.69,0.55,0.4,0.4,0.4,0.41,1.39,4
54.93,78.39,74.39,73.02,0.75,0.6,0.4,0.4,0.4,0.35,1.38,4
55.04,66.77,72.16,74.07,0.69,0.55,0.4,0.4,0.4,0.25,1.37,4
67.2,59.44,71.95,72.39,0.54,0.41,0.58,0.58,0.58,0,0.59,4
55.47,76.41,71,70.18,0.61,0.49,0.4,0.4,0.4,0.23,1.4,4
55.15,69.37,72.8,73.76,0.72,0.58,0.4,0.4,0.4,0.36,1.38,4
52.78,75.72,71,69.97,0.63,0.51,0.4,0.4,0.4,0.19,1.5,4
54.39,58.77,62.19,70.08,0.62,0.5,1,1,1,0.16,1.41,4
54.39,77.78,74.5,73.02,0.77,0.62,0.4,0.4,0.4,0.46,1.41,4
55.58,74.24,72.48,71.45,0.69,0.55,0.4,0.4,0.4,0.27,1.41,4
55.04,67.16,72.27,74.18,0.69,0.55,0.4,0.4,0.4,0.26,1.37,4
55.04,72.58,73.23,73.34,0.76,0.61,0.4,0.4,0.4,0.5,1.38,4
54.72,73.83,72.7,71.34,0.78,0.62,0.4,0.4,0.4,0.59,1.45,4
54.83,77.65,74.6,73.02,0.8,0.64,0.4,0.4,0.4,0.54,1.39,4
55.26,82.42,74.5,71.66,0.75,0.6,0.4,0.4,0.4,0.53,1.39,4
54.93,84.63,75.24,72.29,0.78,0.62,0.4,0.4,0.4,0.61,1.38,4
55.36,76.48,74.18,72.92,0.77,0.62,0.4,0.4,0.4,0.62,1.38,4
55.04,84.77,75.14,72.29,0.78,0.62,0.4,0.4,0.4,0.61,1.4,4
55.15,86.03,75.77,72.71,0.8,0.64,0.4,0.4,0.4,0.66,1.4,4
55.04,69.37,72.48,73.65,0.72,0.58,0.4,0.4,0.4,0.36,1.38,4
55.36,71.23,72.8,73.34,0.75,0.6,0.4,0.4,0.4,0.44,1.42,4
55.26,76.95,71.32,71.97,0.61,0.49,0.4,0.4,0.4,0.2,1.43,4
54.93,85.96,75.77,72.71,0.79,0.64,0.4,0.4,0.4,0.66,1.42,4
54.93,84.41,75.24,72.29,0.77,0.62,0.4,0.4,0.4,0.61,1.41,4
55.04,77.66,75.03,74.28,0.65,0.52,0.4,0.4,0.4,0.35,1.35,4
58.16,59.16,63.15,71.34,0.65,0.52,1,1,1,0.37,1.39,4
55.36,77.08,74.29,73.02,0.77,0.62,0.4,0.4,0.4,0.6,1.41,4
54.83,83.2,74.07,71.02,0.75,0.6,0.4,0.4,0.4,0.52,1.44,4
55.15,77.75,74.39,73.02,0.78,0.62,0.4,0.4,0.4,0.51,1.36,4
53.86,62.27,63.46,70.81,0.65,0.52,1,1,1,0.21,1.41,4
53.43,59.45,61.66,69.34,0.62,0.5,1,1,1,0.15,1.35,4
55.04,65,71.74,74.39,0.69,0.55,0.4,0.4,0.4,0.33,1.44,4
55.58,68.65,72.59,73.97,0.71,0.57,0.4,0.4,0.4,0.33,1.38,4
55.36,76.05,73.97,73.02,0.75,0.6,0.4,0.4,0.4,0.45,1.38,4
55.15,86.02,75.77,72.81,0.79,0.63,0.4,0.4,0.4,0.66,1.43,4
55.26,76.95,71.74,72.81,0.61,0.49,0.4,0.4,0.4,0.2,1.42,4
55.69,58.45,61.66,69.66,0.62,0.5,1,1,1,0.2,1.41,4
55.58,68.65,72.59,73.86,0.71,0.57,0.4,0.4,0.4,0.34,1.38,4
55.15,70.79,72.91,73.55,0.74,0.59,0.4,0.4,0.4,0.41,1.38,4
54.93,77.86,74.6,73.13,0.78,0.62,0.4,0.4,0.4,0.53,1.41,4
55.04,84.63,75.35,72.39,0.78,0.62,0.4,0.4,0.4,0.61,1.42,4
55.15,78.27,74.6,73.23,0.78,0.62,0.4,0.4,0.4,0.53,1.4,4
55.04,78.35,73.76,72.5,0.7,0.56,0.4,0.4,0.4,0.42,1.39,4
55.26,78.23,74.39,73.23,0.68,0.54,0.4,0.4,0.4,0.4,1.37,4
55.58,75.14,72.8,71.66,0.69,0.55,0.4,0.4,0.4,0.36,1.44,4
55.15,65,71.74,74.49,0.69,0.55,0.4,0.4,0.4,0.33,1.39,4
54.5,64.03,64.74,74.39,0.68,0.54,1,1,1,0.29,1.41,4
55.47,75.97,71.32,70.5,0.61,0.49,0.4,0.4,0.4,0.26,1.43,4
54.93,74.85,72.38,71.34,0.68,0.55,0.4,0.4,0.4,0.25,1.36,4
55.47,75.61,73.12,71.24,0.68,0.55,0.4,0.4,0.4,0.49,1.46,4
55.15,84.42,74.07,71.55,0.69,0.55,0.4,0.4,0.4,0.42,1.37,4
55.36,73.12,73.44,73.23,0.77,0.61,0.4,0.4,0.4,0.56,1.39,4
55.04,77.33,74.5,75.02,0.62,0.5,0.4,0.4,0.4,0.28,1.4,4
55.26,84.43,73.97,71.45,0.68,0.55,0.4,0.4,0.4,0.4,1.39,4
54.93,78.11,74.92,73.55,0.78,0.62,0.4,0.4,0.4,0.43,1.39,4
54.72,60.56,61.77,68.92,0.64,0.51,1,1,1,0.23,1.36,4
54.29,83.76,75.14,72.39,0.77,0.62,0.4,0.4,0.4,0.56,1.42,4
55.04,78.41,73.97,72.5,0.7,0.56,0.4,0.4,0.4,0.42,1.4,4
54.39,76.11,71.32,70.5,0.61,0.49,0.4,0.4,0.4,0.23,1.38,4
54.93,78.28,74.18,72.71,0.7,0.56,0.4,0.4,0.4,0.42,1.37,4
55.15,85.15,75.45,72.29,0.78,0.62,0.4,0.4,0.4,0.62,1.38,4
54.93,78.89,74.07,72.5,0.7,0.56,0.4,0.4,0.4,0.43,1.37,4
54.61,66.08,72.06,74.39,0.69,0.55,0.4,0.4,0.4,0.31,1.43,4
55.36,85.57,75.77,72.92,0.78,0.63,0.4,0.4,0.4,0.6,1.35,4
54.83,66.08,72.06,74.39,0.69,0.55,0.4,0.4,0.4,0.32,1.43,4
55.26,77.51,75.14,74.6,0.63,0.51,0.4,0.4,0.4,0.34,1.35,4
54.29,76.07,73.97,72.81,0.75,0.6,0.4,0.4,0.4,0.38,1.42,4
55.15,84.97,75.45,72.5,0.77,0.62,0.4,0.4,0.4,0.58,1.41,4
55.69,75.85,71.21,70.5,0.61,0.49,0.4,0.4,0.4,0.2,1.44,4
54.93,85.96,75.77,72.6,0.79,0.64,0.4,0.4,0.4,0.67,1.43,4
54.83,65.24,72.06,74.7,0.69,0.55,0.4,0.4,0.4,0.33,1.38,4
55.15,84.74,74.18,71.55,0.69,0.55,0.4,0.4,0.4,0.42,1.4,4
55.26,72.96,73.23,73.34,0.76,0.61,0.4,0.4,0.4,0.49,1.38,4
52.24,74.56,72.06,70.6,0.69,0.55,0.4,0.4,0.4,0.35,1.45,4
55.04,75.29,73.44,72.92,0.7,0.56,0.4,0.4,0.4,0.36,1.36,4
55.9,75.89,71.32,70.6,0.61,0.49,0.4,0.4,0.4,0.24,1.43,4
55.15,72.96,73.44,73.55,0.76,0.6,0.4,0.4,0.4,0.49,1.36,4
55.04,81.15,74.5,72.29,0.74,0.6,0.4,0.4,0.4,0.51,1.37,4
53.96,82.77,73.23,71.13,0.68,0.54,0.4,0.4,0.4,0.28,1.45,4
55.04,73.83,73.01,71.76,0.78,0.62,0.4,0.4,0.4,0.6,1.41,4
55.36,78.03,74.71,73.23,0.8,0.64,0.4,0.4,0.4,0.55,1.36,4
55.04,85.12,75.24,72.29,0.78,0.62,0.4,0.4,0.4,0.61,1.4,4
55.36,73.31,73.44,73.34,0.77,0.62,0.4,0.4,0.4,0.57,1.36,4
54.83,65.24,71.95,74.49,0.69,0.55,0.4,0.4,0.4,0.33,1.41,4
55.15,69.58,72.48,73.55,0.72,0.58,0.4,0.4,0.4,0.36,1.35,4
55.15,61.28,62.3,68.82,0.66,0.53,1,1,1,0.21,1.45,4
55.04,77.86,74.71,73.23,0.78,0.63,0.4,0.4,0.4,0.44,1.4,4
55.15,84.97,75.24,72.39,0.77,0.62,0.4,0.4,0.4,0.58,1.38,4
54.5,76.9,74.18,72.71,0.77,0.62,0.4,0.4,0.4,0.6,1.42,4
53.86,74.95,72.16,70.81,0.68,0.54,0.4,0.4,0.4,0.25,1.42,4
54.29,58.77,62.09,69.97,0.62,0.5,1,1,1,0.17,1.39,4
55.15,72.96,73.44,73.34,0.76,0.61,0.4,0.4,0.4,0.5,1.39,4
55.47,74.24,72.7,71.55,0.69,0.55,0.4,0.4,0.4,0.26,1.42,4
55.26,77.33,74.82,74.92,0.62,0.5,0.4,0.4,0.4,0.3,1.41,4
54.61,77.23,74.07,72.92,0.75,0.6,0.4,0.4,0.4,0.36,1.42,4
55.36,77.08,74.29,73.02,0.77,0.62,0.4,0.4,0.4,0.59,1.38,4
55.36,70.56,72.59,73.23,0.74,0.59,0.4,0.4,0.4,0.41,1.38,4
54.5,79.23,74.5,72.92,0.77,0.62,0.4,0.4,0.4,0.44,1.42,4
55.26,84.17,75.56,73.02,0.76,0.61,0.4,0.4,0.4,0.49,1.38,4
55.26,74.28,73.12,71.97,0.78,0.62,0.4,0.4,0.4,0.6,1.4,4
55.04,78.41,74.07,72.6,0.7,0.56,0.4,0.4,0.4,0.42,1.41,4
55.04,79.83,74.29,72.5,0.72,0.58,0.4,0.4,0.4,0.47,1.37,4
55.26,77.47,74.29,72.92,0.77,0.61,0.4,0.4,0.4,0.59,1.39,4
55.04,84.77,75.24,72.18,0.77,0.62,0.4,0.4,0.4,0.61,1.44,4
55.04,78.1,74.07,72.71,0.69,0.55,0.4,0.4,0.4,0.41,1.37,4
55.47,68.39,72.38,73.97,0.7,0.56,0.4,0.4,0.4,0.29,1.36,4
55.04,80.32,74.29,72.39,0.73,0.58,0.4,0.4,0.4,0.48,1.36,4
55.47,75.85,71.21,70.6,0.62,0.49,0.4,0.4,0.4,0.18,1.43,4
54.5,66.07,72.16,74.39,0.69,0.55,0.4,0.4,0.4,0.29,1.41,4
55.15,70.56,72.7,73.23,0.74,0.59,0.4,0.4,0.4,0.4,1.39,4
55.15,85.12,75.24,72.39,0.77,0.61,0.4,0.4,0.4,0.56,1.38,4
54.93,83.79,75.35,72.81,0.76,0.61,0.4,0.4,0.4,0.47,1.36,4
55.15,69.58,72.48,73.44,0.73,0.58,0.4,0.4,0.4,0.37,1.35,4
55.04,67.69,72.27,74.18,0.69,0.56,0.4,0.4,0.4,0.26,1.36,4
55.04,76.9,70.57,69.76,0.61,0.49,0.4,0.4,0.4,0.18,1.36,4
54.72,60.12,61.77,69.03,0.63,0.51,1,1,1,0.24,1.36,4
55.26,70.01,72.8,73.55,0.74,0.59,0.4,0.4,0.4,0.39,1.39,4
55.15,78.11,74.82,73.34,0.78,0.62,0.4,0.4,0.4,0.43,1.39,4
55.26,73.04,73.65,73.65,0.77,0.61,0.4,0.4,0.4,0.56,1.37,4
54.93,84.61,75.24,72.08,0.78,0.62,0.4,0.4,0.4,0.61,1.4,4
54.93,85.28,75.14,72.29,0.78,0.62,0.4,0.4,0.4,0.62,1.44,4
55.15,85.46,75.77,72.71,0.79,0.63,0.4,0.4,0.4,0.64,1.38,4
66.66,59.3,66.12,71.97,0.62,0.49,0.98,0.98,0.98,0.04,1.07,4
55.04,77.81,74.6,73.55,0.67,0.54,0.4,0.4,0.4,0.38,1.4,4
55.47,74.24,72.48,71.34,0.69,0.55,0.4,0.4,0.4,0.27,1.39,4
55.04,78.32,73.97,72.5,0.7,0.56,0.4,0.4,0.4,0.42,1.39,4
55.15,84.43,73.97,71.55,0.68,0.55,0.4,0.4,0.4,0.4,1.39,4
55.04,78.17,74.39,73.13,0.75,0.6,0.4,0.4,0.4,0.36,1.38,4
55.04,71.59,72.7,73.23,0.75,0.6,0.4,0.4,0.4,0.44,1.39,4
55.47,85.46,75.67,72.92,0.78,0.62,0.4,0.4,0.4,0.57,1.39,4
54.83,77.52,74.18,72.92,0.75,0.6,0.4,0.4,0.4,0.35,1.43,4
54.83,77.43,74.29,72.71,0.8,0.64,0.4,0.4,0.4,0.52,1.37,4
55.04,82.2,74.71,72.6,0.75,0.6,0.4,0.4,0.4,0.52,1.41,4
55.15,73.12,73.65,73.55,0.77,0.61,0.4,0.4,0.4,0.56,1.38,4
55.58,58.45,61.77,69.76,0.62,0.5,1,1,1,0.2,1.42,4
54.93,76.83,70.57,69.87,0.61,0.49,0.4,0.4,0.4,0.17,1.41,4
55.15,76.88,70.57,69.87,0.61,0.49,0.4,0.4,0.4,0.19,1.36,4
55.26,72.51,73.12,73.34,0.75,0.6,0.4,0.4,0.4,0.48,1.39,4
55.26,76.48,74.07,72.81,0.77,0.62,0.4,0.4,0.4,0.63,1.4,4
55.47,64.69,65.16,74.39,0.69,0.55,1,1,1,0.22,1.39,4
55.15,71.79,72.7,73.34,0.74,0.59,0.4,0.4,0.4,0.41,1.38,4
54.29,76.03,71.1,70.29,0.61,0.49,0.4,0.4,0.4,0.17,1.38,4
55.15,81.5,74.5,72.39,0.74,0.59,0.4,0.4,0.4,0.5,1.38,4
55.26,59.98,61.56,69.13,0.63,0.5,1,1,1,0.26,1.3,4
53.53,76.42,74.07,72.71,0.76,0.61,0.4,0.4,0.4,0.49,1.47,4
55.58,69.31,72.59,73.76,0.71,0.57,0.4,0.4,0.4,0.35,1.37,4
54.5,59.16,62.72,70.6,0.64,0.52,1,1,1,0.31,1.5,4
54.5,84.98,75.24,72.39,0.78,0.62,0.4,0.4,0.4,0.61,1.46,4
55.15,85.12,75.24,72.39,0.77,0.62,0.4,0.4,0.4,0.56,1.38,4
55.26,85.58,75.14,72.29,0.77,0.61,0.4,0.4,0.4,0.55,1.34,4
55.15,80.73,74.18,72.29,0.73,0.59,0.4,0.4,0.4,0.48,1.36,4
55.04,78.32,73.86,72.6,0.7,0.56,0.4,0.4,0.4,0.42,1.38,4
54.93,74.3,72.38,71.34,0.68,0.54,0.4,0.4,0.4,0.24,1.37,4
55.15,84.42,74.07,71.34,0.69,0.55,0.4,0.4,0.4,0.41,1.37,4
54.39,83.42,73.33,71.13,0.68,0.54,0.4,0.4,0.4,0.28,1.39,4
55.58,83.48,73.65,71.55,0.68,0.54,0.4,0.4,0.4,0.38,1.4,4
55.04,85.82,75.24,72.39,0.78,0.62,0.4,0.4,0.4,0.6,1.4,4
54.39,73.83,72.7,71.24,0.75,0.6,0.4,0.4,0.4,0.58,1.71,4
55.26,78.14,74.07,72.81,0.69,0.55,0.4,0.4,0.4,0.41,1.39,4
55.36,84.74,74.18,71.66,0.69,0.55,0.4,0.4,0.4,0.43,1.36,4
55.15,84.52,75.14,72.39,0.76,0.61,0.4,0.4,0.4,0.54,1.41,4
55.26,73.04,73.44,73.34,0.76,0.61,0.4,0.4,0.4,0.53,1.37,4
54.72,61.21,62.3,69.13,0.66,0.53,1,1,1,0.22,1.32,4
52.89,74.64,72.59,70.92,0.72,0.58,0.4,0.4,0.4,0.52,1.56,4
55.15,78.89,74.07,72.5,0.7,0.56,0.4,0.4,0.4,0.44,1.4,4
53.64,76.42,73.97,72.71,0.76,0.61,0.4,0.4,0.4,0.44,1.45,4
54.72,60.56,61.87,68.92,0.64,0.51,1,1,1,0.23,1.33,4
55.26,84.66,75.45,72.6,0.75,0.6,0.4,0.4,0.4,0.53,1.33,4
54.83,85.26,75.45,72.5,0.79,0.63,0.4,0.4,0.4,0.64,1.44,4
55.15,73.38,73.44,73.55,0.76,0.61,0.4,0.4,0.4,0.51,1.39,4
55.15,86.1,75.77,72.71,0.79,0.63,0.4,0.4,0.4,0.63,1.37,4
55.47,63.34,64,73.34,0.67,0.53,1,1,1,0.2,1.33,4
55.04,78.32,73.86,72.5,0.7,0.56,0.4,0.4,0.4,0.42,1.38,4
55.04,81.15,74.5,72.29,0.74,0.59,0.4,0.4,0.4,0.51,1.38,4
55.47,78.35,74.71,73.23,0.78,0.63,0.4,0.4,0.4,0.45,1.39,4
54.83,77.54,74.71,73.34,0.77,0.62,0.4,0.4,0.4,0.42,1.39,4
54.83,77.86,74.6,73.23,0.78,0.62,0.4,0.4,0.4,0.53,1.41,4
55.26,78.23,73.97,72.81,0.69,0.55,0.4,0.4,0.4,0.42,1.38,4
53.1,82.77,73.23,70.92,0.68,0.55,0.4,0.4,0.4,0.31,1.4,4
55.79,58.64,61.45,69.66,0.62,0.5,1,1,1,0.24,1.42,4
66.99,59.44,72.48,72.6,0.48,0.37,0.43,0.43,0.43,0,0.44,4
55.47,77.52,75.03,75.02,0.62,0.5,0.4,0.4,0.4,0.32,1.36,4
55.15,85.45,75.67,72.81,0.79,0.63,0.4,0.4,0.4,0.63,1.39,4
55.36,68.65,72.48,73.97,0.71,0.57,0.4,0.4,0.4,0.32,1.4,4
55.15,78.35,74.6,73.13,0.78,0.63,0.4,0.4,0.4,0.45,1.39,4
55.26,85.19,75.24,72.39,0.77,0.62,0.4,0.4,0.4,0.57,1.37,4
55.15,70.01,72.59,73.23,0.74,0.59,0.4,0.4,0.4,0.4,1.37,4
55.26,84.73,74.5,72.29,0.7,0.56,0.4,0.4,0.4,0.43,1.37,4
55.04,78.23,74.5,73.34,0.68,0.54,0.4,0.4,0.4,0.4,1.36,4
55.47,84.82,75.14,72.71,0.71,0.57,0.4,0.4,0.4,0.46,1.35,4
55.04,79.57,74.07,72.5,0.7,0.56,0.4,0.4,0.4,0.44,1.36,4
55.15,61.7,62.93,68.82,0.65,0.52,1,1,1,0.29,1.43,4
55.15,78.09,74.5,73.34,0.67,0.54,0.4,0.4,0.4,0.39,1.38,4
55.04,72.58,73.33,73.34,0.76,0.61,0.4,0.4,0.4,0.5,1.39,4
55.26,78.17,74.71,73.23,0.8,0.64,0.4,0.4,0.4,0.53,1.38,4
54.93,78.11,74.82,73.44,0.78,0.62,0.4,0.4,0.4,0.43,1.41,4
55.15,71.97,73.01,73.23,0.75,0.6,0.4,0.4,0.4,0.46,1.38,4
54.93,79.92,74.29,72.39,0.73,0.58,0.4,0.4,0.4,0.47,1.4,4
55.04,77.75,74.6,73.65,0.67,0.54,0.4,0.4,0.4,0.38,1.37,4
55.26,71.13,72.59,73.23,0.75,0.6,0.4,0.4,0.4,0.43,1.39,4
54.72,84.98,75.24,72.29,0.78,0.62,0.4,0.4,0.4,0.61,1.44,4
55.36,77.66,74.71,73.13,0.8,0.64,0.4,0.4,0.4,0.55,1.38,4
55.15,81.31,74.5,72.29,0.75,0.6,0.4,0.4,0.4,0.51,1.37,4
54.93,66.88,72.16,74.18,0.69,0.55,0.4,0.4,0.4,0.25,1.39,4
54.18,64.03,64.53,74.07,0.68,0.54,1,1,1,0.28,1.39,4
54.83,76.65,70.89,70.08,0.61,0.49,0.4,0.4,0.4,0.25,1.43,4
52.24,74.56,72.16,70.6,0.69,0.56,0.4,0.4,0.4,0.39,1.5,4
54.83,77.65,74.5,72.92,0.8,0.64,0.4,0.4,0.4,0.55,1.39,4
55.26,77.21,74.18,74.92,0.62,0.49,0.4,0.4,0.4,0.28,1.33,4
54.5,76.83,70.79,69.87,0.61,0.49,0.4,0.4,0.4,0.17,1.41,4
54.83,79.57,74.6,73.23,0.77,0.62,0.4,0.4,0.4,0.43,1.4,4
56.33,64.89,65.37,74.49,0.69,0.55,0.4,0.4,0.4,0.29,1.4,4
54.93,79.85,74.5,73.23,0.78,0.62,0.4,0.4,0.4,0.43,1.39,4
71.29,59.6,71.85,73.13,0.2,0.16,0,0,0,0,0.04,4
55.04,85.82,75.56,72.6,0.78,0.62,0.4,0.4,0.4,0.61,1.38,4
58.05,75.55,73.65,72.29,0.68,0.55,0.4,0.4,0.4,0.5,1.41,4
55.15,80.6,74.29,72.5,0.72,0.58,0.4,0.4,0.4,0.47,1.41,4
55.26,80.58,74.29,72.5,0.71,0.57,0.4,0.4,0.4,0.46,1.38,4
55.26,76.66,74.18,72.92,0.77,0.61,0.4,0.4,0.4,0.53,1.37,4
55.15,84.43,73.97,71.45,0.68,0.55,0.4,0.4,0.4,0.41,1.37,4
54.72,60.12,61.77,69.03,0.63,0.51,1,1,1,0.24,1.37,4
54.5,82.76,75.24,72.5,0.76,0.61,0.4,0.4,0.4,0.5,1.44,4
55.04,85.28,75.24,72.18,0.78,0.62,0.4,0.4,0.4,0.61,1.39,4
55.15,69.53,72.48,73.55,0.73,0.58,0.4,0.4,0.4,0.37,1.37,4
55.04,78.37,73.97,72.5,0.7,0.56,0.4,0.4,0.4,0.42,1.36,4
67.1,59.3,68.03,72.18,0.6,0.48,0.83,0.83,0.83,0,0.93,4
55.15,85.35,75.35,72.39,0.78,0.62,0.4,0.4,0.4,0.59,1.38,4
55.26,78.18,74.71,73.44,0.75,0.6,0.4,0.4,0.4,0.37,1.38,4
55.04,65.24,71.95,74.49,0.69,0.55,0.4,0.4,0.4,0.33,1.43,4
54.61,77.86,74.39,73.13,0.78,0.62,0.4,0.4,0.4,0.52,1.4,4
54.93,85.69,75.67,72.71,0.78,0.62,0.4,0.4,0.4,0.62,1.4,4
55.15,72.96,73.33,73.23,0.76,0.61,0.4,0.4,0.4,0.49,1.38,4
55.26,85.35,75.35,72.29,0.78,0.62,0.4,0.4,0.4,0.6,1.39,4
56.22,59.16,63.04,71.24,0.65,0.52,1,1,1,0.35,1.41,4
55.9,77.14,73.76,74.6,0.61,0.49,0.4,0.4,0.4,0.27,1.36,4
55.04,78.37,73.97,72.71,0.69,0.56,0.4,0.4,0.4,0.42,1.36,4
54.93,67.16,72.27,74.18,0.69,0.55,0.4,0.4,0.4,0.26,1.36,4
54.72,60.56,61.87,68.92,0.65,0.52,1,1,1,0.23,1.37,4
55.15,76.88,70.79,69.97,0.61,0.49,0.4,0.4,0.4,0.19,1.43,4
54.93,80.26,74.18,72.29,0.73,0.58,0.4,0.4,0.4,0.47,1.38,4
55.15,83.88,75.35,72.6,0.76,0.61,0.4,0.4,0.4,0.54,1.36,4
53.75,59.45,61.45,69.34,0.62,0.5,1,1,1,0.14,1.41,4
55.79,75.89,71.21,70.6,0.61,0.49,0.4,0.4,0.4,0.22,1.43,4
54.29,76.03,71.21,70.39,0.61,0.49,0.4,0.4,0.4,0.2,1.44,4
54.93,79.57,74.07,72.5,0.7,0.56,0.4,0.4,0.4,0.43,1.38,4
55.36,76.41,74.07,73.02,0.76,0.61,0.4,0.4,0.4,0.48,1.39,4
54.93,78.28,73.97,72.5,0.7,0.56,0.4,0.4,0.4,0.42,1.37,4
52.24,75.72,71.1,69.87,0.64,0.51,0.4,0.4,0.4,0.21,1.49,4
