Supply Air Temperature,Outdoor Air Temperature,Mixed Air Temperature,Return Air Temperature,Supply Air Fan Speed Control Signal,Return Air Fan Speed Control Signal,Exhaust Air Damper Control Signal  ,Outdoor Air Damper Control Signal  ,Return Air Damper Control Signal,Cooling Coil Valve Control Signal,Supply Air Duct Static Pressure ,Y
55.04,63.3,63.68,74.49,0.68,0.54,1,1,0,0.27,1.35,3
55.04,70.77,73.23,73.55,0.75,0.6,0.4,0.4,0.6,0.65,1.38,3
55.04,78.89,74.6,73.23,0.79,0.64,0.4,0.4,0.6,0.87,1.39,3
55.79,64.12,64.84,74.7,0.69,0.55,1,1,0,0.41,1.43,3
55.04,69.26,72.48,73.23,0.74,0.59,0.4,0.4,0.6,0.63,1.36,3
55.15,79.67,74.71,73.23,0.78,0.63,0.4,0.4,0.6,0.72,1.4,3
55.15,77.57,74.71,73.23,0.77,0.62,0.4,0.4,0.6,0.6,1.39,3
55.47,72.55,73.01,72.81,0.78,0.63,0.4,0.4,0.6,0.72,1.36,3
55.26,70.95,73.01,73.44,0.75,0.6,0.4,0.4,0.6,0.64,1.4,3
55.79,76.29,73.97,73.23,0.71,0.57,0.4,0.4,0.6,0.52,1.31,3
55.26,76.18,71,70.29,0.61,0.49,0.4,0.4,0.4,0.19,1.42,4
55.58,58.83,61.56,69.55,0.62,0.5,1,1,1,0.27,1.39,4
55.36,58.56,61.87,69.87,0.62,0.5,1,1,1,0.16,1.44,4
54.72,60.56,61.87,69.03,0.65,0.51,1,1,1,0.23,1.3,4
54.72,64.47,65.06,74.39,0.68,0.55,1,1,1,0.2,1.37,4
55.36,77.75,74.71,73.86,0.66,0.53,0.4,0.4,0.4,0.38,1.39,4
55.26,75.37,73.65,73.23,0.71,0.57,0.4,0.4,0.4,0.37,1.33,4
54.93,79.53,74.6,73.23,0.78,0.62,0.4,0.4,0.4,0.43,1.38,4
55.36,74.24,72.7,71.55,0.69,0.55,0.4,0.4,0.4,0.25,1.34,4
54.83,61.21,62.19,68.92,0.66,0.53,1,1,1,0.22,1.38,4
55.26,77.66,74.71,72.92,0.8,0.64,0.4,0.4,0.4,0.55,1.38,4
53.43,59.09,61.45,69.34,0.62,0.5,1,1,1,0.18,1.44,4
55.15,71.97,73.01,73.34,0.75,0.6,0.4,0.4,0.4,0.46,1.38,4
55.47,78.73,74.71,73.23,0.79,0.63,0.4,0.4,0.4,0.48,1.35,4
54.72,80.66,74.6,72.92,0.77,0.62,0.4,0.4,0.4,0.43,1.39,4
55.15,78.6,74.07,72.5,0.7,0.56,0.4,0.4,0.4,0.43,1.37,4
55.04,78.08,74.6,73.23,0.77,0.62,0.4,0.4,0.4,0.43,1.41,4
53.43,82.72,73.12,70.6,0.71,0.57,0.4,0.4,0.4,0.47,1.57,4
55.04,76.95,70.57,70.29,0.61,0.49,0.4,0.4,0.4,0.19,1.43,4
55.47,77.01,72.7,73.97,0.61,0.49,0.4,0.4,0.4,0.22,1.41,4
